sentence,intent,domain
aturar tot la aire acondicionat a s'{area},HassTurnOff,climate
aturar tot la aire acondicionat a la {area},HassTurnOff,climate
aturar tot la aire acondicionat al el {area},HassTurnOff,climate
aturar tot la aire acondicionat al l'{area},HassTurnOff,climate
aturar tot la aire acondicionat al s'{area},HassTurnOff,climate
aturar tot la aire acondicionat al la {area},HassTurnOff,climate
aturat tot el aire acondicionat en el {area},HassTurnOff,climate
aturat tot el aire acondicionat en l'{area},HassTurnOff,climate
aturat tot el aire acondicionat en s'{area},HassTurnOff,climate
aturat tot el aire acondicionat en la {area},HassTurnOff,climate
aturat tot el aire acondicionat de el {area},HassTurnOff,climate
aturat tot el aire acondicionat de l'{area},HassTurnOff,climate
aturat tot el aire acondicionat de s'{area},HassTurnOff,climate
aturat tot el aire acondicionat de la {area},HassTurnOff,climate
aturat tot el aire acondicionat del el {area},HassTurnOff,climate
aturat tot el aire acondicionat del l'{area},HassTurnOff,climate
aturat tot el aire acondicionat del s'{area},HassTurnOff,climate
aturat tot el aire acondicionat del la {area},HassTurnOff,climate
aturat tot el aire acondicionat a el {area},HassTurnOff,climate
aturat tot el aire acondicionat a l'{area},HassTurnOff,climate
aturat tot el aire acondicionat a s'{area},HassTurnOff,climate
aturat tot el aire acondicionat a la {area},HassTurnOff,climate
aturat tot el aire acondicionat al el {area},HassTurnOff,climate
aturat tot el aire acondicionat al l'{area},HassTurnOff,climate
aturat tot el aire acondicionat al s'{area},HassTurnOff,climate
aturat tot el aire acondicionat al la {area},HassTurnOff,climate
aturat tot l'aire acondicionat en el {area},HassTurnOff,climate
aturat tot l'aire acondicionat en l'{area},HassTurnOff,climate
aturat tot l'aire acondicionat en s'{area},HassTurnOff,climate
aturat tot l'aire acondicionat en la {area},HassTurnOff,climate
aturat tot l'aire acondicionat de el {area},HassTurnOff,climate
aturat tot l'aire acondicionat de l'{area},HassTurnOff,climate
aturat tot l'aire acondicionat de s'{area},HassTurnOff,climate
aturat tot l'aire acondicionat de la {area},HassTurnOff,climate
aturat tot l'aire acondicionat del el {area},HassTurnOff,climate
aturat tot l'aire acondicionat del l'{area},HassTurnOff,climate
aturat tot l'aire acondicionat del s'{area},HassTurnOff,climate
aturat tot l'aire acondicionat del la {area},HassTurnOff,climate
aturat tot l'aire acondicionat a el {area},HassTurnOff,climate
aturat tot l'aire acondicionat a l'{area},HassTurnOff,climate
aturat tot l'aire acondicionat a s'{area},HassTurnOff,climate
aturat tot l'aire acondicionat a la {area},HassTurnOff,climate
aturat tot l'aire acondicionat al el {area},HassTurnOff,climate
aturat tot l'aire acondicionat al l'{area},HassTurnOff,climate
aturat tot l'aire acondicionat al s'{area},HassTurnOff,climate
aturat tot l'aire acondicionat al la {area},HassTurnOff,climate
aturat tot s'aire acondicionat en el {area},HassTurnOff,climate
aturat tot s'aire acondicionat en l'{area},HassTurnOff,climate
aturat tot s'aire acondicionat en s'{area},HassTurnOff,climate
aturat tot s'aire acondicionat en la {area},HassTurnOff,climate
aturat tot s'aire acondicionat de el {area},HassTurnOff,climate
aturat tot s'aire acondicionat de l'{area},HassTurnOff,climate
aturat tot s'aire acondicionat de s'{area},HassTurnOff,climate
aturat tot s'aire acondicionat de la {area},HassTurnOff,climate
aturat tot s'aire acondicionat del el {area},HassTurnOff,climate
aturat tot s'aire acondicionat del l'{area},HassTurnOff,climate
aturat tot s'aire acondicionat del s'{area},HassTurnOff,climate
aturat tot s'aire acondicionat del la {area},HassTurnOff,climate
aturat tot s'aire acondicionat a el {area},HassTurnOff,climate
aturat tot s'aire acondicionat a l'{area},HassTurnOff,climate
aturat tot s'aire acondicionat a s'{area},HassTurnOff,climate
aturat tot s'aire acondicionat a la {area},HassTurnOff,climate
aturat tot s'aire acondicionat al el {area},HassTurnOff,climate
aturat tot s'aire acondicionat al l'{area},HassTurnOff,climate
aturat tot s'aire acondicionat al s'{area},HassTurnOff,climate
aturat tot s'aire acondicionat al la {area},HassTurnOff,climate
aturat tot la aire acondicionat en el {area},HassTurnOff,climate
aturat tot la aire acondicionat en l'{area},HassTurnOff,climate
aturat tot la aire acondicionat en s'{area},HassTurnOff,climate
aturat tot la aire acondicionat en la {area},HassTurnOff,climate
aturat tot la aire acondicionat de el {area},HassTurnOff,climate
aturat tot la aire acondicionat de l'{area},HassTurnOff,climate
aturat tot la aire acondicionat de s'{area},HassTurnOff,climate
aturat tot la aire acondicionat de la {area},HassTurnOff,climate
aturat tot la aire acondicionat del el {area},HassTurnOff,climate
aturat tot la aire acondicionat del l'{area},HassTurnOff,climate
aturat tot la aire acondicionat del s'{area},HassTurnOff,climate
aturat tot la aire acondicionat del la {area},HassTurnOff,climate
aturat tot la aire acondicionat a el {area},HassTurnOff,climate
aturat tot la aire acondicionat a l'{area},HassTurnOff,climate
aturat tot la aire acondicionat a s'{area},HassTurnOff,climate
aturat tot la aire acondicionat a la {area},HassTurnOff,climate
aturat tot la aire acondicionat al el {area},HassTurnOff,climate
aturat tot la aire acondicionat al l'{area},HassTurnOff,climate
aturat tot la aire acondicionat al s'{area},HassTurnOff,climate
aturat tot la aire acondicionat al la {area},HassTurnOff,climate
desconnectar tot el aire acondicionat en el {area},HassTurnOff,climate
desconnectar tot el aire acondicionat en l'{area},HassTurnOff,climate
desconnectar tot el aire acondicionat en s'{area},HassTurnOff,climate
desconnectar tot el aire acondicionat en la {area},HassTurnOff,climate
desconnectar tot el aire acondicionat de el {area},HassTurnOff,climate
desconnectar tot el aire acondicionat de l'{area},HassTurnOff,climate
desconnectar tot el aire acondicionat de s'{area},HassTurnOff,climate
desconnectar tot el aire acondicionat de la {area},HassTurnOff,climate
desconnectar tot el aire acondicionat del el {area},HassTurnOff,climate
desconnectar tot el aire acondicionat del l'{area},HassTurnOff,climate
desconnectar tot el aire acondicionat del s'{area},HassTurnOff,climate
desconnectar tot el aire acondicionat del la {area},HassTurnOff,climate
desconnectar tot el aire acondicionat a el {area},HassTurnOff,climate
desconnectar tot el aire acondicionat a l'{area},HassTurnOff,climate
desconnectar tot el aire acondicionat a s'{area},HassTurnOff,climate
desconnectar tot el aire acondicionat a la {area},HassTurnOff,climate
desconnectar tot el aire acondicionat al el {area},HassTurnOff,climate
desconnectar tot el aire acondicionat al l'{area},HassTurnOff,climate
desconnectar tot el aire acondicionat al s'{area},HassTurnOff,climate
desconnectar tot el aire acondicionat al la {area},HassTurnOff,climate
desconnectar tot l'aire acondicionat en el {area},HassTurnOff,climate
desconnectar tot l'aire acondicionat en l'{area},HassTurnOff,climate
desconnectar tot l'aire acondicionat en s'{area},HassTurnOff,climate
desconnectar tot l'aire acondicionat en la {area},HassTurnOff,climate
desconnectar tot l'aire acondicionat de el {area},HassTurnOff,climate
desconnectar tot l'aire acondicionat de l'{area},HassTurnOff,climate
desconnectar tot l'aire acondicionat de s'{area},HassTurnOff,climate
desconnectar tot l'aire acondicionat de la {area},HassTurnOff,climate
desconnectar tot l'aire acondicionat del el {area},HassTurnOff,climate
desconnectar tot l'aire acondicionat del l'{area},HassTurnOff,climate
desconnectar tot l'aire acondicionat del s'{area},HassTurnOff,climate
desconnectar tot l'aire acondicionat del la {area},HassTurnOff,climate
desconnectar tot l'aire acondicionat a el {area},HassTurnOff,climate
desconnectar tot l'aire acondicionat a l'{area},HassTurnOff,climate
desconnectar tot l'aire acondicionat a s'{area},HassTurnOff,climate
desconnectar tot l'aire acondicionat a la {area},HassTurnOff,climate
desconnectar tot l'aire acondicionat al el {area},HassTurnOff,climate
desconnectar tot l'aire acondicionat al l'{area},HassTurnOff,climate
desconnectar tot l'aire acondicionat al s'{area},HassTurnOff,climate
desconnectar tot l'aire acondicionat al la {area},HassTurnOff,climate
desconnectar tot s'aire acondicionat en el {area},HassTurnOff,climate
desconnectar tot s'aire acondicionat en l'{area},HassTurnOff,climate
desconnectar tot s'aire acondicionat en s'{area},HassTurnOff,climate
desconnectar tot s'aire acondicionat en la {area},HassTurnOff,climate
desconnectar tot s'aire acondicionat de el {area},HassTurnOff,climate
desconnectar tot s'aire acondicionat de l'{area},HassTurnOff,climate
desconnectar tot s'aire acondicionat de s'{area},HassTurnOff,climate
desconnectar tot s'aire acondicionat de la {area},HassTurnOff,climate
desconnectar tot s'aire acondicionat del el {area},HassTurnOff,climate
desconnectar tot s'aire acondicionat del l'{area},HassTurnOff,climate
desconnectar tot s'aire acondicionat del s'{area},HassTurnOff,climate
desconnectar tot s'aire acondicionat del la {area},HassTurnOff,climate
desconnectar tot s'aire acondicionat a el {area},HassTurnOff,climate
desconnectar tot s'aire acondicionat a l'{area},HassTurnOff,climate
desconnectar tot s'aire acondicionat a s'{area},HassTurnOff,climate
desconnectar tot s'aire acondicionat a la {area},HassTurnOff,climate
desconnectar tot s'aire acondicionat al el {area},HassTurnOff,climate
desconnectar tot s'aire acondicionat al l'{area},HassTurnOff,climate
desconnectar tot s'aire acondicionat al s'{area},HassTurnOff,climate
desconnectar tot s'aire acondicionat al la {area},HassTurnOff,climate
desconnectar tot la aire acondicionat en el {area},HassTurnOff,climate
desconnectar tot la aire acondicionat en l'{area},HassTurnOff,climate
desconnectar tot la aire acondicionat en s'{area},HassTurnOff,climate
desconnectar tot la aire acondicionat en la {area},HassTurnOff,climate
desconnectar tot la aire acondicionat de el {area},HassTurnOff,climate
desconnectar tot la aire acondicionat de l'{area},HassTurnOff,climate
desconnectar tot la aire acondicionat de s'{area},HassTurnOff,climate
desconnectar tot la aire acondicionat de la {area},HassTurnOff,climate
desconnectar tot la aire acondicionat del el {area},HassTurnOff,climate
desconnectar tot la aire acondicionat del l'{area},HassTurnOff,climate
desconnectar tot la aire acondicionat del s'{area},HassTurnOff,climate
desconnectar tot la aire acondicionat del la {area},HassTurnOff,climate
desconnectar tot la aire acondicionat a el {area},HassTurnOff,climate
desconnectar tot la aire acondicionat a l'{area},HassTurnOff,climate
desconnectar tot la aire acondicionat a s'{area},HassTurnOff,climate
desconnectar tot la aire acondicionat a la {area},HassTurnOff,climate
desconnectar tot la aire acondicionat al el {area},HassTurnOff,climate
desconnectar tot la aire acondicionat al l'{area},HassTurnOff,climate
desconnectar tot la aire acondicionat al s'{area},HassTurnOff,climate
desconnectar tot la aire acondicionat al la {area},HassTurnOff,climate
desconnectat tot el aire acondicionat en el {area},HassTurnOff,climate
desconnectat tot el aire acondicionat en l'{area},HassTurnOff,climate
desconnectat tot el aire acondicionat en s'{area},HassTurnOff,climate
desconnectat tot el aire acondicionat en la {area},HassTurnOff,climate
desconnectat tot el aire acondicionat de el {area},HassTurnOff,climate
desconnectat tot el aire acondicionat de l'{area},HassTurnOff,climate
desconnectat tot el aire acondicionat de s'{area},HassTurnOff,climate
desconnectat tot el aire acondicionat de la {area},HassTurnOff,climate
desconnectat tot el aire acondicionat del el {area},HassTurnOff,climate
desconnectat tot el aire acondicionat del l'{area},HassTurnOff,climate
desconnectat tot el aire acondicionat del s'{area},HassTurnOff,climate
desconnectat tot el aire acondicionat del la {area},HassTurnOff,climate
desconnectat tot el aire acondicionat a el {area},HassTurnOff,climate
desconnectat tot el aire acondicionat a l'{area},HassTurnOff,climate
desconnectat tot el aire acondicionat a s'{area},HassTurnOff,climate
desconnectat tot el aire acondicionat a la {area},HassTurnOff,climate
desconnectat tot el aire acondicionat al el {area},HassTurnOff,climate
desconnectat tot el aire acondicionat al l'{area},HassTurnOff,climate
desconnectat tot el aire acondicionat al s'{area},HassTurnOff,climate
desconnectat tot el aire acondicionat al la {area},HassTurnOff,climate
desconnectat tot l'aire acondicionat en el {area},HassTurnOff,climate
desconnectat tot l'aire acondicionat en l'{area},HassTurnOff,climate
desconnectat tot l'aire acondicionat en s'{area},HassTurnOff,climate
desconnectat tot l'aire acondicionat en la {area},HassTurnOff,climate
desconnectat tot l'aire acondicionat de el {area},HassTurnOff,climate
desconnectat tot l'aire acondicionat de l'{area},HassTurnOff,climate
desconnectat tot l'aire acondicionat de s'{area},HassTurnOff,climate
desconnectat tot l'aire acondicionat de la {area},HassTurnOff,climate
desconnectat tot l'aire acondicionat del el {area},HassTurnOff,climate
desconnectat tot l'aire acondicionat del l'{area},HassTurnOff,climate
desconnectat tot l'aire acondicionat del s'{area},HassTurnOff,climate
desconnectat tot l'aire acondicionat del la {area},HassTurnOff,climate
desconnectat tot l'aire acondicionat a el {area},HassTurnOff,climate
desconnectat tot l'aire acondicionat a l'{area},HassTurnOff,climate
desconnectat tot l'aire acondicionat a s'{area},HassTurnOff,climate
desconnectat tot l'aire acondicionat a la {area},HassTurnOff,climate
desconnectat tot l'aire acondicionat al el {area},HassTurnOff,climate
desconnectat tot l'aire acondicionat al l'{area},HassTurnOff,climate
desconnectat tot l'aire acondicionat al s'{area},HassTurnOff,climate
desconnectat tot l'aire acondicionat al la {area},HassTurnOff,climate
desconnectat tot s'aire acondicionat en el {area},HassTurnOff,climate
desconnectat tot s'aire acondicionat en l'{area},HassTurnOff,climate
desconnectat tot s'aire acondicionat en s'{area},HassTurnOff,climate
desconnectat tot s'aire acondicionat en la {area},HassTurnOff,climate
desconnectat tot s'aire acondicionat de el {area},HassTurnOff,climate
desconnectat tot s'aire acondicionat de l'{area},HassTurnOff,climate
desconnectat tot s'aire acondicionat de s'{area},HassTurnOff,climate
desconnectat tot s'aire acondicionat de la {area},HassTurnOff,climate
desconnectat tot s'aire acondicionat del el {area},HassTurnOff,climate
desconnectat tot s'aire acondicionat del l'{area},HassTurnOff,climate
desconnectat tot s'aire acondicionat del s'{area},HassTurnOff,climate
desconnectat tot s'aire acondicionat del la {area},HassTurnOff,climate
desconnectat tot s'aire acondicionat a el {area},HassTurnOff,climate
desconnectat tot s'aire acondicionat a l'{area},HassTurnOff,climate
desconnectat tot s'aire acondicionat a s'{area},HassTurnOff,climate
desconnectat tot s'aire acondicionat a la {area},HassTurnOff,climate
desconnectat tot s'aire acondicionat al el {area},HassTurnOff,climate
desconnectat tot s'aire acondicionat al l'{area},HassTurnOff,climate
desconnectat tot s'aire acondicionat al s'{area},HassTurnOff,climate
desconnectat tot s'aire acondicionat al la {area},HassTurnOff,climate
desconnectat tot la aire acondicionat en el {area},HassTurnOff,climate
desconnectat tot la aire acondicionat en l'{area},HassTurnOff,climate
desconnectat tot la aire acondicionat en s'{area},HassTurnOff,climate
desconnectat tot la aire acondicionat en la {area},HassTurnOff,climate
desconnectat tot la aire acondicionat de el {area},HassTurnOff,climate
desconnectat tot la aire acondicionat de l'{area},HassTurnOff,climate
desconnectat tot la aire acondicionat de s'{area},HassTurnOff,climate
desconnectat tot la aire acondicionat de la {area},HassTurnOff,climate
desconnectat tot la aire acondicionat del el {area},HassTurnOff,climate
desconnectat tot la aire acondicionat del l'{area},HassTurnOff,climate
desconnectat tot la aire acondicionat del s'{area},HassTurnOff,climate
desconnectat tot la aire acondicionat del la {area},HassTurnOff,climate
desconnectat tot la aire acondicionat a el {area},HassTurnOff,climate
desconnectat tot la aire acondicionat a l'{area},HassTurnOff,climate
desconnectat tot la aire acondicionat a s'{area},HassTurnOff,climate
desconnectat tot la aire acondicionat a la {area},HassTurnOff,climate
desconnectat tot la aire acondicionat al el {area},HassTurnOff,climate
desconnectat tot la aire acondicionat al l'{area},HassTurnOff,climate
desconnectat tot la aire acondicionat al s'{area},HassTurnOff,climate
desconnectat tot la aire acondicionat al la {area},HassTurnOff,climate
parar tot el aire acondicionat en el {area},HassTurnOff,climate
parar tot el aire acondicionat en l'{area},HassTurnOff,climate
parar tot el aire acondicionat en s'{area},HassTurnOff,climate
parar tot el aire acondicionat en la {area},HassTurnOff,climate
parar tot el aire acondicionat de el {area},HassTurnOff,climate
parar tot el aire acondicionat de l'{area},HassTurnOff,climate
parar tot el aire acondicionat de s'{area},HassTurnOff,climate
parar tot el aire acondicionat de la {area},HassTurnOff,climate
parar tot el aire acondicionat del el {area},HassTurnOff,climate
parar tot el aire acondicionat del l'{area},HassTurnOff,climate
parar tot el aire acondicionat del s'{area},HassTurnOff,climate
parar tot el aire acondicionat del la {area},HassTurnOff,climate
parar tot el aire acondicionat a el {area},HassTurnOff,climate
parar tot el aire acondicionat a l'{area},HassTurnOff,climate
parar tot el aire acondicionat a s'{area},HassTurnOff,climate
parar tot el aire acondicionat a la {area},HassTurnOff,climate
parar tot el aire acondicionat al el {area},HassTurnOff,climate
parar tot el aire acondicionat al l'{area},HassTurnOff,climate
parar tot el aire acondicionat al s'{area},HassTurnOff,climate
parar tot el aire acondicionat al la {area},HassTurnOff,climate
parar tot l'aire acondicionat en el {area},HassTurnOff,climate
parar tot l'aire acondicionat en l'{area},HassTurnOff,climate
parar tot l'aire acondicionat en s'{area},HassTurnOff,climate
parar tot l'aire acondicionat en la {area},HassTurnOff,climate
parar tot l'aire acondicionat de el {area},HassTurnOff,climate
parar tot l'aire acondicionat de l'{area},HassTurnOff,climate
parar tot l'aire acondicionat de s'{area},HassTurnOff,climate
parar tot l'aire acondicionat de la {area},HassTurnOff,climate
parar tot l'aire acondicionat del el {area},HassTurnOff,climate
parar tot l'aire acondicionat del l'{area},HassTurnOff,climate
parar tot l'aire acondicionat del s'{area},HassTurnOff,climate
parar tot l'aire acondicionat del la {area},HassTurnOff,climate
parar tot l'aire acondicionat a el {area},HassTurnOff,climate
parar tot l'aire acondicionat a l'{area},HassTurnOff,climate
parar tot l'aire acondicionat a s'{area},HassTurnOff,climate
parar tot l'aire acondicionat a la {area},HassTurnOff,climate
parar tot l'aire acondicionat al el {area},HassTurnOff,climate
parar tot l'aire acondicionat al l'{area},HassTurnOff,climate
parar tot l'aire acondicionat al s'{area},HassTurnOff,climate
parar tot l'aire acondicionat al la {area},HassTurnOff,climate
parar tot s'aire acondicionat en el {area},HassTurnOff,climate
parar tot s'aire acondicionat en l'{area},HassTurnOff,climate
parar tot s'aire acondicionat en s'{area},HassTurnOff,climate
parar tot s'aire acondicionat en la {area},HassTurnOff,climate
parar tot s'aire acondicionat de el {area},HassTurnOff,climate
parar tot s'aire acondicionat de l'{area},HassTurnOff,climate
parar tot s'aire acondicionat de s'{area},HassTurnOff,climate
parar tot s'aire acondicionat de la {area},HassTurnOff,climate
parar tot s'aire acondicionat del el {area},HassTurnOff,climate
parar tot s'aire acondicionat del l'{area},HassTurnOff,climate
parar tot s'aire acondicionat del s'{area},HassTurnOff,climate
parar tot s'aire acondicionat del la {area},HassTurnOff,climate
parar tot s'aire acondicionat a el {area},HassTurnOff,climate
parar tot s'aire acondicionat a l'{area},HassTurnOff,climate
parar tot s'aire acondicionat a s'{area},HassTurnOff,climate
parar tot s'aire acondicionat a la {area},HassTurnOff,climate
parar tot s'aire acondicionat al el {area},HassTurnOff,climate
parar tot s'aire acondicionat al l'{area},HassTurnOff,climate
parar tot s'aire acondicionat al s'{area},HassTurnOff,climate
parar tot s'aire acondicionat al la {area},HassTurnOff,climate
parar tot la aire acondicionat en el {area},HassTurnOff,climate
parar tot la aire acondicionat en l'{area},HassTurnOff,climate
parar tot la aire acondicionat en s'{area},HassTurnOff,climate
parar tot la aire acondicionat en la {area},HassTurnOff,climate
parar tot la aire acondicionat de el {area},HassTurnOff,climate
parar tot la aire acondicionat de l'{area},HassTurnOff,climate
parar tot la aire acondicionat de s'{area},HassTurnOff,climate
parar tot la aire acondicionat de la {area},HassTurnOff,climate
parar tot la aire acondicionat del el {area},HassTurnOff,climate
parar tot la aire acondicionat del l'{area},HassTurnOff,climate
parar tot la aire acondicionat del s'{area},HassTurnOff,climate
parar tot la aire acondicionat del la {area},HassTurnOff,climate
parar tot la aire acondicionat a el {area},HassTurnOff,climate
parar tot la aire acondicionat a l'{area},HassTurnOff,climate
parar tot la aire acondicionat a s'{area},HassTurnOff,climate
parar tot la aire acondicionat a la {area},HassTurnOff,climate
parar tot la aire acondicionat al el {area},HassTurnOff,climate
parar tot la aire acondicionat al l'{area},HassTurnOff,climate
parar tot la aire acondicionat al s'{area},HassTurnOff,climate
parar tot la aire acondicionat al la {area},HassTurnOff,climate
parat tot el aire acondicionat en el {area},HassTurnOff,climate
parat tot el aire acondicionat en l'{area},HassTurnOff,climate
parat tot el aire acondicionat en s'{area},HassTurnOff,climate
parat tot el aire acondicionat en la {area},HassTurnOff,climate
parat tot el aire acondicionat de el {area},HassTurnOff,climate
parat tot el aire acondicionat de l'{area},HassTurnOff,climate
parat tot el aire acondicionat de s'{area},HassTurnOff,climate
parat tot el aire acondicionat de la {area},HassTurnOff,climate
parat tot el aire acondicionat del el {area},HassTurnOff,climate
parat tot el aire acondicionat del l'{area},HassTurnOff,climate
parat tot el aire acondicionat del s'{area},HassTurnOff,climate
parat tot el aire acondicionat del la {area},HassTurnOff,climate
parat tot el aire acondicionat a el {area},HassTurnOff,climate
parat tot el aire acondicionat a l'{area},HassTurnOff,climate
parat tot el aire acondicionat a s'{area},HassTurnOff,climate
parat tot el aire acondicionat a la {area},HassTurnOff,climate
parat tot el aire acondicionat al el {area},HassTurnOff,climate
parat tot el aire acondicionat al l'{area},HassTurnOff,climate
parat tot el aire acondicionat al s'{area},HassTurnOff,climate
parat tot el aire acondicionat al la {area},HassTurnOff,climate
parat tot l'aire acondicionat en el {area},HassTurnOff,climate
parat tot l'aire acondicionat en l'{area},HassTurnOff,climate
parat tot l'aire acondicionat en s'{area},HassTurnOff,climate
parat tot l'aire acondicionat en la {area},HassTurnOff,climate
parat tot l'aire acondicionat de el {area},HassTurnOff,climate
parat tot l'aire acondicionat de l'{area},HassTurnOff,climate
parat tot l'aire acondicionat de s'{area},HassTurnOff,climate
parat tot l'aire acondicionat de la {area},HassTurnOff,climate
parat tot l'aire acondicionat del el {area},HassTurnOff,climate
parat tot l'aire acondicionat del l'{area},HassTurnOff,climate
parat tot l'aire acondicionat del s'{area},HassTurnOff,climate
parat tot l'aire acondicionat del la {area},HassTurnOff,climate
parat tot l'aire acondicionat a el {area},HassTurnOff,climate
parat tot l'aire acondicionat a l'{area},HassTurnOff,climate
parat tot l'aire acondicionat a s'{area},HassTurnOff,climate
parat tot l'aire acondicionat a la {area},HassTurnOff,climate
parat tot l'aire acondicionat al el {area},HassTurnOff,climate
parat tot l'aire acondicionat al l'{area},HassTurnOff,climate
parat tot l'aire acondicionat al s'{area},HassTurnOff,climate
parat tot l'aire acondicionat al la {area},HassTurnOff,climate
parat tot s'aire acondicionat en el {area},HassTurnOff,climate
parat tot s'aire acondicionat en l'{area},HassTurnOff,climate
parat tot s'aire acondicionat en s'{area},HassTurnOff,climate
parat tot s'aire acondicionat en la {area},HassTurnOff,climate
parat tot s'aire acondicionat de el {area},HassTurnOff,climate
parat tot s'aire acondicionat de l'{area},HassTurnOff,climate
parat tot s'aire acondicionat de s'{area},HassTurnOff,climate
parat tot s'aire acondicionat de la {area},HassTurnOff,climate
parat tot s'aire acondicionat del el {area},HassTurnOff,climate
parat tot s'aire acondicionat del l'{area},HassTurnOff,climate
parat tot s'aire acondicionat del s'{area},HassTurnOff,climate
parat tot s'aire acondicionat del la {area},HassTurnOff,climate
parat tot s'aire acondicionat a el {area},HassTurnOff,climate
parat tot s'aire acondicionat a l'{area},HassTurnOff,climate
parat tot s'aire acondicionat a s'{area},HassTurnOff,climate
parat tot s'aire acondicionat a la {area},HassTurnOff,climate
parat tot s'aire acondicionat al el {area},HassTurnOff,climate
parat tot s'aire acondicionat al l'{area},HassTurnOff,climate
parat tot s'aire acondicionat al s'{area},HassTurnOff,climate
parat tot s'aire acondicionat al la {area},HassTurnOff,climate
parat tot la aire acondicionat en el {area},HassTurnOff,climate
parat tot la aire acondicionat en l'{area},HassTurnOff,climate
parat tot la aire acondicionat en s'{area},HassTurnOff,climate
parat tot la aire acondicionat en la {area},HassTurnOff,climate
parat tot la aire acondicionat de el {area},HassTurnOff,climate
parat tot la aire acondicionat de l'{area},HassTurnOff,climate
parat tot la aire acondicionat de s'{area},HassTurnOff,climate
parat tot la aire acondicionat de la {area},HassTurnOff,climate
parat tot la aire acondicionat del el {area},HassTurnOff,climate
parat tot la aire acondicionat del l'{area},HassTurnOff,climate
parat tot la aire acondicionat del s'{area},HassTurnOff,climate
parat tot la aire acondicionat del la {area},HassTurnOff,climate
parat tot la aire acondicionat a el {area},HassTurnOff,climate
parat tot la aire acondicionat a l'{area},HassTurnOff,climate
parat tot la aire acondicionat a s'{area},HassTurnOff,climate
parat tot la aire acondicionat a la {area},HassTurnOff,climate
parat tot la aire acondicionat al el {area},HassTurnOff,climate
parat tot la aire acondicionat al l'{area},HassTurnOff,climate
parat tot la aire acondicionat al s'{area},HassTurnOff,climate
parat tot la aire acondicionat al la {area},HassTurnOff,climate
apagar tota el  calefacció en el {area},HassTurnOff,climate
apagar tota el  calefacció en l'{area},HassTurnOff,climate
apagar tota el  calefacció en s'{area},HassTurnOff,climate
apagar tota el  calefacció en la {area},HassTurnOff,climate
apagar tota el  calefacció de el {area},HassTurnOff,climate
apagar tota el  calefacció de l'{area},HassTurnOff,climate
apagar tota el  calefacció de s'{area},HassTurnOff,climate
apagar tota el  calefacció de la {area},HassTurnOff,climate
apagar tota el  calefacció del el {area},HassTurnOff,climate
apagar tota el  calefacció del l'{area},HassTurnOff,climate
apagar tota el  calefacció del s'{area},HassTurnOff,climate
apagar tota el  calefacció del la {area},HassTurnOff,climate
apagar tota el  calefacció a el {area},HassTurnOff,climate
apagar tota el  calefacció a l'{area},HassTurnOff,climate
apagar tota el  calefacció a s'{area},HassTurnOff,climate
apagar tota el  calefacció a la {area},HassTurnOff,climate
apagar tota el  calefacció al el {area},HassTurnOff,climate
apagar tota el  calefacció al l'{area},HassTurnOff,climate
apagar tota el  calefacció al s'{area},HassTurnOff,climate
apagar tota el  calefacció al la {area},HassTurnOff,climate
apagar tota l' calefacció en el {area},HassTurnOff,climate
apagar tota l' calefacció en l'{area},HassTurnOff,climate
apagar tota l' calefacció en s'{area},HassTurnOff,climate
apagar tota l' calefacció en la {area},HassTurnOff,climate
apagar tota l' calefacció de el {area},HassTurnOff,climate
apagar tota l' calefacció de l'{area},HassTurnOff,climate
apagar tota l' calefacció de s'{area},HassTurnOff,climate
apagar tota l' calefacció de la {area},HassTurnOff,climate
apagar tota l' calefacció del el {area},HassTurnOff,climate
apagar tota l' calefacció del l'{area},HassTurnOff,climate
apagar tota l' calefacció del s'{area},HassTurnOff,climate
apagar tota l' calefacció del la {area},HassTurnOff,climate
apagar tota l' calefacció a el {area},HassTurnOff,climate
apagar tota l' calefacció a l'{area},HassTurnOff,climate
apagar tota l' calefacció a s'{area},HassTurnOff,climate
apagar tota l' calefacció a la {area},HassTurnOff,climate
apagar tota l' calefacció al el {area},HassTurnOff,climate
apagar tota l' calefacció al l'{area},HassTurnOff,climate
apagar tota l' calefacció al s'{area},HassTurnOff,climate
apagar tota l' calefacció al la {area},HassTurnOff,climate
apagar tota s' calefacció en el {area},HassTurnOff,climate
apagar tota s' calefacció en l'{area},HassTurnOff,climate
apagar tota s' calefacció en s'{area},HassTurnOff,climate
apagar tota s' calefacció en la {area},HassTurnOff,climate
apagar tota s' calefacció de el {area},HassTurnOff,climate
apagar tota s' calefacció de l'{area},HassTurnOff,climate
apagar tota s' calefacció de s'{area},HassTurnOff,climate
apagar tota s' calefacció de la {area},HassTurnOff,climate
apagar tota s' calefacció del el {area},HassTurnOff,climate
apagar tota s' calefacció del l'{area},HassTurnOff,climate
apagar tota s' calefacció del s'{area},HassTurnOff,climate
apagar tota s' calefacció del la {area},HassTurnOff,climate
apagar tota s' calefacció a el {area},HassTurnOff,climate
apagar tota s' calefacció a l'{area},HassTurnOff,climate
apagar tota s' calefacció a s'{area},HassTurnOff,climate
apagar tota s' calefacció a la {area},HassTurnOff,climate
apagar tota s' calefacció al el {area},HassTurnOff,climate
apagar tota s' calefacció al l'{area},HassTurnOff,climate
apagar tota s' calefacció al s'{area},HassTurnOff,climate
apagar tota s' calefacció al la {area},HassTurnOff,climate
